ward_code,ward_name,Borough,Zone,mode_share,PTAL_bus2015,PTAL_LUL2015,PTAL_rail2015,PTAL_tram2015,PTAL_AI2015,speed_weekday_allday,speed_weekday_AM,speed_weekday_IN,change_weekday_allday,change_weekday_AM,change_weekday_IN,weekday_boardings_allday,weekend_boardings_ratio,alightings_boardings_ratio,2013_population,pop_0to15_perc,pop_16to64_perc,pop_65plus_perc,area_km,2013_pop_density,2014_med_house_price,2014_mean_income,2011_cars_own_density,2011_cars_per_household,2011_ethnic_white,2011_ethnic_mixed,2011_ethnic_asian,2011_ethnic_black
E05000345,Yiewsley,Hillingdon,Outer,0.155224898,3.996952537,0,0.591617605,0,4.588570142,21.86675727,20.75809738,21.31605173,-0.51943461,-0.686052621,-0.637465262,28945.88949,62.6424748,92.79141105,13525,22.67657993,67.65799257,9.665427509,4.02251,3362.328496,225000,31841.11711,1276.814725,1.034024562,63.54158965,3.608133087,18.49168207,7.083179298
E05000344,Yeading,Hillingdon,Outer,0.130863907,3.225701169,0,0,0,3.225701169,21.38608396,19.85410736,21.62764005,-1.001599585,-0.798995654,-0.20232344,11051.52407,77.08491433,36.67915514,14025,26.07142857,66.07142857,7.857142857,2.32126,6041.977202,250000,32218.9236,2273.33431,1.128770053,34.80926916,4.748663102,38.3315508,13.96791444
E05000265,Wormholt and White City,Hammersmith and Fulham,Inner,0.162600488,7.518537304,0.609073894,0,0,8.127611198,16.72143004,17.12469089,15.90363635,-0.021618748,-0.185759085,0.113970874,19075.0809,76.96208097,33.4242128,13585,21.9330855,68.7732342,9.293680297,0.90164,15066.98904,427500,33348.58915,2742.779823,0.492335258,48.70813397,6.654398233,10.06993007,25.27788001
E05000572,Worcester Park,Sutton,Outer,0.131768701,4.293500595,0,0.623688671,0,4.917189265,17.89262546,15.79785535,17.17164467,-0.008398557,0.210217285,-0.449187419,13439.93947,71.39194137,26.62273815,11890,21.33891213,64.43514644,14.22594142,1.95703,6075.532823,338000,44176.38276,2925.35117,1.226172628,78.41883936,3.608074012,12.22035324,1.934398654
E05000230,Woolwich Riverside,Greenwich,Inner,0.189291282,10.58191356,0.840187398,3.570922299,0,14.99302325,18.34558808,17.95543562,17.61980745,-0.550401243,-0.735368485,-0.429811348,308826.6406,84.44732643,125.9783393,21116,24.07862408,69.53316953,6.388206388,2.53792,8320.199218,266250,34065.64452,1679.327954,0.523330059,46.1829892,5.3608638,12.33661678,24.70164804
E05000229,Woolwich Common,Greenwich,Inner,0.188700181,11.0070554,0.596508432,1.328246382,0,12.93181021,17.26900436,16.71588879,17.01915622,-0.463879558,-0.597889987,-0.190303071,71591.81096,69.78902507,118.9843833,18530,26.74094708,66.85236769,6.128133705,2.62035,7071.574408,267500,30617.57082,1365.848074,0.562912866,40.01079331,5.342687534,15.86616298,31.10631409
E05000169,Woodside,Croydon,Outer,0.238154503,5.561699396,0,2.982246639,2.749778201,11.29372424,18.0017685,16.49977728,18.11292923,-0.964647609,-0.198777989,-0.944449935,8899.1554,76.97178484,62.36280368,16945,24.41176471,67.05882353,8.529411765,2.16651,7821.334773,250000,33445.01939,2451.869597,0.766190682,44.33166126,9.619356742,9.336087341,33.83889053
E05000284,Woodside,Haringey,Outer,0.089325236,9.943454991,3.795163528,1.008686723,0,14.74730524,15.83959511,15.33633034,14.83017254,-0.77742966,-0.595932932,-0.716395556,59144.80828,81.90818546,238.5882708,15025,18.66666667,72.66666667,8.666666667,1.49715,10035.73456,345000,30938.63052,2075.944294,0.55949595,54.89517471,6.549084859,13.7703827,16.359401
E05000063,Woodhouse,Barnet,Outer,0.093867334,6.220757834,0.587706415,0,0,6.808464248,21.10259941,19.988255,19.87803956,-0.605027165,-0.954974564,-0.734376848,37560.88264,72.36268817,106.6988236,18199,18.82022472,67.13483146,13.76404494,2.62117,6943.082669,370000,40746.67067,2588.538706,0.982479004,60.25605803,5.307983955,20.27583933,5.989340074
E05009387,Woodberry Down,Hackney,Inner,0.283034403,10.45200837,6.585728876,1.27446366,0,18.31220091,19.00221686,18.10208507,18.6870682,-0.398458962,0.01077946,-0.609663536,74324.07122,79.15457718,140.0407898,10800,24.20486649,68.11041912,7.684714392,0.8808,12261.58038,345000,31464.30406,1786.603444,0.411034826,56.00057572,4.979325259,7.722670098,15.39414622
